Region,chicken wrap,chicken,chicken tenders,fried chicken
Alabama,83,92,78,59
Alaska,60,86,38,63
Arizona,59,77,48,56
Arkansas,67,95,53,66
California,53,75,39,52
Colorado,66,79,49,46
Connecticut,100,86,59,46
Delaware,92,86,63,79
District of Columbia,76,67,40,50
Florida,72,75,54,50
Georgia,71,91,61,75
Hawaii,47,82,29,64
Idaho,69,93,41,48
Illinois,85,82,52,49
Indiana,77,88,63,52
Iowa,78,82,48,49
Kansas,75,91,51,65
Kentucky,81,92,73,56
Louisiana,76,87,59,100
Maine,92,93,88,60
Maryland,75,83,54,62
Massachusetts,94,85,63,54
Michigan,91,92,60,60
Minnesota,66,86,43,43
Mississippi,77,92,75,63
Missouri,75,94,51,59
Montana,62,87,51,55
Nebraska,78,86,46,55
Nevada,53,80,47,57
New Hampshire,87,92,100,46
New Jersey,92,80,44,68
New Mexico,51,74,43,56
New York,75,69,38,59
North Carolina,82,79,57,62
North Dakota,60,79,38,45
Ohio,78,88,58,49
Oklahoma,70,100,51,69
Oregon,50,80,36,46
Pennsylvania,82,90,55,55
Rhode Island,85,81,75,68
South Carolina,79,92,69,57
South Dakota,64,78,36,48
Tennessee,79,91,74,68
Texas,61,81,52,73
Utah,61,82,40,42
Vermont,67,93,71,43
Virginia,65,77,49,53
Washington,54,78,39,55
West Virginia,88,89,76,51
Wisconsin,78,92,62,42
Wyoming,47,82,46,50