name,year,denom_total_hh,Median Household Income
Irwindale,2021,497,106965
Pico-Union,2021,12420,48993
Glendora,2021,17548,116152
Industry,2021,3550,101763
Sylmar,2021,22318,94514
Torrance,2021,59356,114459
Alhambra,2021,31829,84094
Pico Rivera,2021,17611,85664
Rolling Hills Estates,2021,3709,193115
Signal Hill,2021,4977,91503
Hawthorne,2021,31963,76941
North Hills,2021,17105,87788
Hacienda Heights,2021,16683,109245
Harbor Gateway,2021,13333,77065
Lopez/Kagel Canyons,2021,510,78316
Citrus,2021,3219,82821
Lake Balboa,2021,9495,91859
Granada Hills,2021,19546,119724
Palms,2021,22811,100352
Santa Monica,2021,51369,116835
Pacoima,2021,18042,71975
Toluca Lake,2021,5059,98017
Veterans Administration,2021,31,46052
Valley Village,2021,12611,92534
Brentwood,2021,16772,174806
Pomona,2021,43221,75901
South Whittier,2021,15043,98164
Pasadena,2021,62453,109808
Winnetka,2021,16432,86966
Palmdale,2021,48791,81821
Porter Ranch,2021,8338,153806
South El Monte,2021,5244,68275
Tujunga Canyons,2021,2600,133342
Commerce,2021,3355,63175
San Fernando,2021,6799,76494
Sherman Oaks,2021,35587,118422
Bradbury,2021,568,125719
Panorama City,2021,20083,61590
Northridge,2021,23917,95369
Culver City,2021,19286,120678
Lakewood,2021,27677,115919
Compton,2021,26165,70807
Vernon,2021,13,62163
San Dimas,2021,12981,114239
Inglewood,2021,38850,72017
Charter Oak,2021,3104,89610
Paramount,2021,14752,68180
San Pedro,2021,32688,87407
Lincoln Heights,2021,9370,55662
Boyle Heights,2021,25559,57744
Historic South-Central,2021,12088,49218
Avalon,2021,2186,87299
Westlake,2021,43526,51533
Mission Hills,2021,5592,92263
Quartz Hill,2021,3921,103463
Marina del Rey,2021,6154,149437
Bell,2021,9171,55466
Long Beach,2021,177399,85136
San Gabriel,2021,13529,89278
Downey,2021,36011,89648
Diamond Bar,2021,16231,109717
La Canada Flintridge,2021,6888,215289
West Covina,2021,33309,104163
Redondo Beach,2021,30866,142533
Vermont Square,2021,14954,60169
Santa Fe Springs,2021,6671,85601
Calabasas,2021,9225,170102
Altadena,2021,15334,134937
Bell Gardens,2021,9537,56821
Sun Valley,2021,20045,73213
Playa Vista,2021,7729,171555
Carson,2021,27282,103295
Hollywood Hills,2021,13909,112982
Lancaster,2021,57115,73240
Leona Valley,2021,431,118391
Whittier,2021,28220,94721
Walnut,2021,9179,137418
Castaic Canyons,2021,14394,150105
Silver Lake,2021,15168,109644
Whittier Narrows,2021,94,110215
Glendale,2021,78774,87282
West Whittier-Los Nietos,2021,6518,94603
Atwater Village,2021,5245,93134
East Whittier,2021,3413,88584
El Sereno,2021,12590,74667
Montecito Heights,2021,6654,105873
Florence,2021,13405,56477
Huntington Park,2021,14609,58401
Cheviot Hills,2021,3589,203382
Cypress Park,2021,2803,71774
Desert View Highlands,2021,661,92574
Baldwin Park,2021,17951,81914
Montebello,2021,19957,77313
Leimert Park,2021,5913,67009
Santa Clarita,2021,63356,116845
Elysian Park,2021,983,57932
Wilmington,2021,15605,66055
Jefferson Park,2021,9126,60731
Downtown,2021,40079,71995
Encino,2021,20686,122095
West Adams,2021,7767,60559
Hawaiian Gardens,2021,3861,75700
Agoura Hills,2021,6444,164968
Baldwin Hills/Crenshaw,2021,16120,63125
Lake View Terrace,2021,3150,92355
Adams-Normandie,2021,5782,49902
El Monte,2021,29308,65054
Rancho Dominguez,2021,1072,89500
Acton,2021,1239,129538
Studio City,2021,19807,133389
La Puente,2021,9760,83892
North Hollywood,2021,33787,64547
Rosemead,2021,14713,73031
San Marino,2021,4551,203381
East San Gabriel,2021,7416,98468
South Park,2021,8550,53225
Burbank,2021,46359,96279
Woodland Hills,2021,29738,124154
Angeles Crest,2021,990,132242
East Compton,2021,2797,68677
Chatsworth,2021,18885,129911
Mayflower Village,2021,2923,105396
Koreatown,2021,49015,52701
South Gate,2021,24195,67547
Elysian Valley,2021,2623,82296
Claremont,2021,13647,132902
Avocado Heights,2021,3779,101978
South San Gabriel,2021,2299,72185
Northwest Antelope Valley,2021,1855,80232
Echo Park,2021,14809,82053
Lynwood,2021,15490,70772
Unincorporated Santa Susana Mountains,2021,7832,148734
Shadow Hills,2021,4897,107898
La Habra Heights,2021,2227,196123
Covina,2021,18517,91822
Northwest Palmdale,2021,1251,106751
Sawtelle,2021,21265,110978
Rancho Park,2021,2502,118881
East Los Angeles,2021,32504,63635
Beverlywood,2021,2823,187753
Bellflower,2021,25103,78576
Azusa,2021,14011,87680
Del Rey,2021,13718,109262
Mid-Wilshire,2021,22558,93012
North Whittier,2021,2336,112506
Beverly Crest,2021,4659,207349
Cerritos,2021,16049,129181
West Hills,2021,13668,139254
Vincent,2021,3854,95052
Sun Village,2021,520,63069
Playa del Rey,2021,6215,133422
Valinda,2021,4204,103346
Tujunga,2021,10780,82773
Exposition Park,2021,10820,56504
Eagle Rock,2021,12376,109730
Harbor City,2021,9023,83929
Southeast Antelope Valley,2021,3020,96712
Reseda,2021,22746,78222
Willowbrook,2021,9880,64834
Highland Park,2021,17870,89257
Temple City,2021,12883,97443
Westlake Village,2021,2943,177913
Pico-Robertson,2021,8273,110556
Monrovia,2021,14850,101068
Broadway-Manchester,2021,7589,55971
Sunland,2021,6368,106880
Agua Dulce,2021,1569,122567
Malibu,2021,4600,214710
Topanga,2021,3240,167562
Northeast Antelope Valley,2021,6463,60823
Arleta,2021,8296,101281
Van Nuys,2021,39867,65578
Mar Vista,2021,16683,105199
Valley Glen,2021,21292,72636
Arcadia,2021,21840,116429
Windsor Square,2021,3012,99745
West Puente Valley,2021,4648,87314
Central-Alameda,2021,10879,53964
Arlington Heights,2021,7694,53548
Harvard Heights,2021,6259,48953
Harvard Park,2021,3007,69249
East Hollywood,2021,25225,55665
Lennox,2021,5033,57232
Larchmont,2021,3875,87475
Tarzana,2021,14615,117962
Rolling Hills,2021,1107,238851
Mid-City,2021,20342,77187
Westchester,2021,17727,136030
Manchester Square,2021,4783,57369
Rowland Heights,2021,14911,98498
Ridge Route,2021,2217,121314
South San Jose Hills,2021,4367,90363
Vermont-Slauson,2021,8199,55882
Athens,2021,3064,84403
Mount Washington,2021,5410,120166
West Compton,2021,1984,77588
Los Feliz,2021,17946,109630
Chinatown,2021,4520,51615
Century City,2021,3760,128993
Florence-Firestone,2021,15341,58375
University Park,2021,6343,30822
Hollywood Hills West,2021,8633,166275
Unincorporated Santa Monica Mountains,2021,7912,191903
West Los Angeles,2021,6766,121335
Hancock Park,2021,5518,124077
Canoga Park,2021,21728,72922
Chesterfield Square,2021,2688,74444
Hidden Hills,2021,546,281089
Norwalk,2021,26831,94655
North El Monte,2021,789,91354
Monterey Park,2021,21600,79990
Hollywood,2021,44816,63201
Fairfax,2021,7177,123009
Glassell Park,2021,8424,89169
Watts,2021,10855,42762
La Verne,2021,11907,105657
Rancho Palos Verdes,2021,16321,181023
Green Meadows,2021,9026,58475
Del Aire,2021,2892,134462
Vermont Knolls,2021,7184,49641
Castaic,2021,3352,156629
Westwood,2021,20504,93153
Venice,2021,19613,138918
South Diamond Bar,2021,1313,128505
Universal City,2021,,
Pacific Palisades,2021,9679,218408
Bel-Air,2021,3095,216354
East Pasadena,2021,2101,105291
Cudahy,2021,5779,52973
Palos Verdes Estates,2021,5246,223003
Ladera Heights,2021,2928,126234
Walnut Park,2021,3848,79069
La Crescenta-Montrose,2021,7375,120831
Gardena,2021,21705,78493
Duarte,2021,7515,98368
La Mirada,2021,13447,110849
Maywood,2021,6389,59219
Alondra Park,2021,2812,95903
Beverly Grove,2021,13493,116551
Vermont Vista,2021,7808,53100
Lawndale,2021,10162,83663
Hyde Park,2021,15026,60552
Lomita,2021,8175,102447
South Pasadena,2021,11050,143038
Westmont,2021,11115,52385
San Pasqual,2021,907,146447
West Hollywood,2021,25656,87486
Artesia,2021,4599,95414
Manhattan Beach,2021,14957,199200
West Carson,2021,8332,95198
Hermosa Beach,2021,10143,163354
Carthay,2021,2379,131206
Beverly Hills,2021,17059,123437
El Segundo,2021,7416,138862
View Park-Windsor Hills,2021,5048,110229
Sierra Madre,2021,5523,122010
Gramercy Park,2021,4191,83699
Aggregated,2021,3557648,94439
